timesteps,loss,policy_gradient_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance
16384,,,,,,,
32768,59.43314743041992,-0.003139458194073086,432.6062399201095,-1.6037102940725163,0.0069304155,0.0461669921875,0.0038909316062927246
49152,83.93618774414062,-0.001391519358912774,313.20285621359943,-1.6034599072299898,0.0053356914,0.0139892578125,-4.887580871582031e-06
65536,149.32357788085938,-0.0027225592311879154,366.14877408891914,-1.5917838655877858,0.006183246,0.0291748046875,1.6868114471435547e-05
81920,182.24549865722656,-0.0027958672517343075,377.62475330382586,-1.5828594027785585,0.00635611,0.025286865234375,0.0026941299438476562
98304,510.4153137207031,-0.0027513327508131625,434.51269917190075,-1.565754371532239,0.0062037325,0.028985595703125,0.11985355615615845
114688,94.12457275390625,-0.0038063090010837185,411.39372414052485,-1.5385505568701774,0.0077623655,0.028521728515625,0.37503671646118164
131072,724.5287475585938,-0.004493958698913047,433.2265461504459,-1.5223456153413282,0.008149338,0.07493896484375,0.5139110386371613
147456,331.4654235839844,-0.0096760467698914,382.50097589343784,-1.495685866009444,0.010441314,0.13646240234375,0.5137034356594086
163840,309.1473693847656,-0.00857043960777446,456.8780749939382,-1.4570365096675233,0.011111074,0.105145263671875,0.5463287234306335
180224,301.1044921875,-0.00829027879772184,390.6785963624716,-1.4190533341374247,0.012597247,0.11990966796875,0.595538467168808
196608,310.7923583984375,-0.004792757921040902,831.2290190801025,-1.3811144456034525,0.010202389,0.055377197265625,0.47248339653015137
212992,385.8678283691406,-0.004211756552012958,860.2678220808506,-1.3502857871120795,0.0083925165,0.063006591796875,0.5137480199337006
229376,278.86187744140625,-0.003063237161222787,977.767026039958,-1.3077481650048868,0.0072427033,0.043243408203125,0.5337987542152405
245760,500.7446594238281,-0.003789603821314813,5548.306659910083,-1.28492395428475,0.006706137,0.035870361328125,0.2672047019004822
262144,674.0195922851562,-0.002492505199279549,1554.5175558626652,-1.2507526585948654,0.004874761,0.021722412109375,0.636448323726654
278528,1324.317138671875,-0.002039214415890456,1416.0689426124095,-1.2466135702794419,0.004646725,0.02276611328125,0.6947614252567291
294912,257.63653564453125,-0.0014924305302884023,17544.79958472848,-1.2406589006306603,0.0062007015,0.023907470703125,0.19310444593429565
311296,372.36224365234375,-0.002406882519971987,5455.29950003624,-1.2555983247468248,0.0034261476,0.01068115234375,0.4742351770401001
327680,541.8941040039062,-0.0023922992909319873,1321.2569406837224,-1.252752642845735,0.005874672,0.025213623046875,0.7787402123212814
344064,429.15875244140625,-0.002092811447073473,5039.346355366707,-1.2353243438876234,0.0043320884,0.02818603515625,0.5223537385463715
360448,339.5540771484375,-0.002529247819347802,5270.36962595582,-1.2151614235364832,0.0044717314,0.025958251953125,0.5062168836593628
376832,356.2052001953125,-0.003420607807311171,1441.9423699378967,-1.1947763133095577,0.005469148,0.029937744140625,0.7951433062553406
393216,549.7848510742188,-0.0035125136497299535,5356.995733547211,-1.162149128189776,0.0051142974,0.042608642578125,0.5442820489406586
409600,378.9850769042969,-0.0047292787317928745,1443.2862082600593,-1.1789681414724327,0.006544099,0.051019287109375,0.8131102174520493
425984,998.8460083007812,-0.0036165094562420562,1536.8938783049584,-1.1418029026710428,0.0052783033,0.0371337890625,0.8064292371273041
442368,807.20947265625,-0.005550953086094523,1581.7485150933267,-1.1210946812061593,0.0058363853,0.054827880859375,0.8106667697429657
458752,992.0477905273438,-0.005923044105929876,1461.336305165291,-1.1079285381711088,0.0066649443,0.05069580078125,0.827532485127449
475136,749.6304931640625,-0.006235137113253586,5655.152614867688,-1.0870852520340122,0.006572279,0.05047607421875,0.5671103894710541
491520,739.2664184570312,-0.007534821097033273,7239.016764217615,-1.0842122880392708,0.0074022617,0.06829833984375,0.4364376664161682
507904,675.22314453125,-0.005259675655361206,1508.8146151721478,-1.064348138961941,0.004750884,0.033404541015625,0.7653707265853882
524288,826.8314208984375,-0.006187338298877876,1462.8084990620614,-1.0350734513020143,0.0055222125,0.044097900390625,0.7851710766553879
540672,624.0164184570312,-0.0034324059269238206,9874.646094918251,-1.0073402638547122,0.0042823507,0.022991943359375,0.3402441740036011
557056,70788.125,-0.0024158610025551753,22941.87328941226,-0.9925854330998846,0.0035648926,0.024163818359375,0.13568347692489624
573440,734.7383422851562,-0.0019563900367757015,32306.281478834153,-0.9793553502764553,0.003884777,0.024798583984375,0.12227499485015869
589824,89273.53125,-0.002973102643773018,25675.470903897287,-0.9691620978177525,0.0044270474,0.023760986328125,0.1340438723564148
606208,5936.6240234375,-0.0032164878601179227,64142.41219822168,-0.9189825520617887,0.0056158844,0.03631591796875,0.05890935659408569
