timesteps,loss,policy_gradient_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance
16384,,,,,,,
32768,64.43169403076172,-0.004437516063535441,498.9460509195924,-1.6033860985189676,0.0066390885,0.061761474609375,0.0006328225135803223
49152,105.15031433105469,-0.0013026555669057415,337.80410725325345,-1.5985215986613184,0.005333388,0.009515380859375,6.562471389770508e-05
65536,118.22212219238281,-0.002192699749593885,410.2032254874706,-1.5859362593386321,0.006036644,0.0222900390625,0.009431183338165283
81920,103.12389373779297,-0.0029668771785509307,482.6379187002778,-1.5748004500987007,0.0063038105,0.038006591796875,0.051067054271698
98304,221.51031494140625,-0.0031270510244212346,413.4325617969036,-1.5506406203843652,0.0063555306,0.040679931640625,0.23365497589111328
114688,188.80404663085938,-0.003865604541806533,397.509273019433,-1.5331112587358802,0.0057684844,0.04071044921875,0.4507383704185486
131072,137.3369140625,-0.003609111194327852,507.2806752413511,-1.5264391007367522,0.007641771,0.04425048828125,0.4768538475036621
147456,161.6126251220703,-0.0048383413673946055,516.6381350159645,-1.5086039163870737,0.007905949,0.073260498046875,0.5339981913566589
163840,240.8666229248047,-0.0062350242328648164,571.7390465080738,-1.4811060121050104,0.009546577,0.084521484375,0.5498421490192413
180224,318.1084899902344,-0.0052953790119318,550.9637126788497,-1.482028114865534,0.009241128,0.064605712890625,0.577098548412323
196608,257.1871643066406,-0.007036561798122421,513.8337958142162,-1.436339904135093,0.009744866,0.09693603515625,0.5975245535373688
212992,425.1703186035156,-0.007469922438394861,611.6522455066442,-1.4084219163050875,0.010406076,0.1209228515625,0.5693173110485077
229376,332.8148193359375,-0.0067897242597609875,584.2544592127203,-1.3637135175289585,0.010227412,0.10372314453125,0.6297747492790222
245760,408.33795166015625,-0.004040885791528126,1176.530719602108,-1.3332306401338427,0.0093414,0.051141357421875,0.5653534233570099
262144,783.1005859375,-0.003018406966657494,1506.7431171387434,-1.2906223620520905,0.0063878084,0.029095458984375,0.5532176792621613
278528,809.8844604492188,-0.0033689334098198744,1686.9146249443293,-1.266512679727748,0.0059466735,0.03408203125,0.6103173494338989
294912,1473.9417724609375,-0.004007530750914157,1810.6322186529637,-1.2565606410149486,0.0069807,0.04530029296875,0.6273496150970459
311296,417.52545166015625,-0.002905136042681988,1581.381820523739,-1.2407208262127825,0.004942349,0.028912353515625,0.6685614287853241
327680,552.0016479492188,-0.0027937955398556367,1951.3744083046913,-1.228401831840165,0.004170158,0.02294921875,0.6802469789981842
344064,1906.37353515625,-0.005235736980648653,2092.173999071121,-1.2037433153018355,0.0069883266,0.037451171875,0.6808759868144989
360448,1137.779052734375,-0.004511140320937556,10794.121559202671,-1.1765601122402587,0.0056838635,0.030218505859375,0.32309263944625854
376832,985.88330078125,-0.003985061190087435,6219.012129390239,-1.1814997876645066,0.0050842264,0.028167724609375,0.44845372438430786
393216,1263.1083984375,-0.005725943068136985,1931.198525762558,-1.1389978578547015,0.006697961,0.042596435546875,0.7120833992958069
409600,1636.5843505859375,-0.004413859120086272,2205.3112785696985,-1.0907749108737335,0.0047506066,0.035955810546875,0.7139621675014496
425984,1706.0714111328125,-0.004391827506151458,8769.871357870103,-1.0996919143479318,0.0043530213,0.025579833984375,0.37007617950439453
442368,1449.1981201171875,-0.0036311774193563905,2324.7249549269677,-1.0450287543819285,0.0046391524,0.024072265625,0.7595074474811554
458752,1044.4539794921875,-0.003671937122453528,14491.84497796297,-1.0447229752666316,0.004432178,0.021380615234375,0.2507585287094116
475136,746.19677734375,-0.0033879066089866684,11145.658936369418,-1.0508333163452335,0.0033356354,0.01962890625,0.33233845233917236
491520,1338.39111328125,-0.003320074108796689,19443.713569974898,-1.0039680215646514,0.0038182917,0.0209228515625,0.24992024898529053
507904,60894.5703125,-0.002620062137430068,66734.41549519301,-0.9854294480755925,0.0041743643,0.01689453125,0.10634887218475342
524288,18603.236328125,-0.0038072719217780104,67716.27187385558,-0.9391767523251474,0.005275426,0.03804931640625,0.16001641750335693
